Server-0 CLIENT-REQ 2024-03-28T13:40:40.309461 [27, 0] Thread-19 transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.063603700 [29, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.064603 [30, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.066603900 [33, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.067609500 [28, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.068610600 [34, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.068610600 [32, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.069605400 [31, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.070660600 [35, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.072603200 [36, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.073608600 [37, 2] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.080601400 [53, 1] Thread-18 transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.082598800 [54, 1] Thread-1 transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.085601400 [38, 2] Thread-16 transfer 
Server-0 CLIENT-REQ 2024-03-28T13:53:05.087602900 [5, 0] Thread-6 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.094603600 [55, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.096601300 [56, 1] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.097607 [58, 1] Thread-21 transfer 
Server-0 CLIENT-REQ 2024-03-28T13:53:05.099600700 [6, 0] Thread-12 transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.099600700 [57, 1] Thread-2 transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.100660600 [43, 2] Thread-19 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.100660600 [60, 1] transfer 
Server-0 CLIENT-REQ 2024-03-28T13:53:05.102606400 [7, 0] Thread-3 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.103600300 [59, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.104602600 [62, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.106602 [63, 1] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.107597100 [45, 2] Thread-10 transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.108598600 [54, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.109607700 [64, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.109607700 [55, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.110601900 [67, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.110601900 [66, 1] transfer 
Server-0 CLIENT-REQ 2024-03-28T13:53:05.119600300 [8, 0] Thread-7 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.119600300 [71, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.120606200 [60, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.121643900 [62, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.122608 [56, 2] transfer 
Server-0 CLIENT-REQ 2024-03-28T13:53:05.123605800 [9, 0] Thread-4 transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.123605800 [66, 2] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.124602 [65, 2] Thread-8 transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.125607700 [63, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.125607700 [74, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.126604400 [60, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.127604300 [74, 2] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.128604 [72, 2] Thread-20 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.129600600 [76, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.130659 [71, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.130659 [77, 1] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.131605500 [77, 2] Thread-16 transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.132600 [76, 2] Thread-13 transfer 
Server-0 CLIENT-REQ 2024-03-28T13:53:05.132600 [10, 0] Thread-18 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.133606 [80, 1] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.136601800 [80, 2] Thread-21 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.136601800 [82, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.138602200 [83, 1] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.138602200 [82, 1] Thread-2 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.140598500 [84, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.140598500 [84, 2] transfer 
Server-0 CLIENT-REQ 2024-03-28T13:53:05.140598500 [11, 0] Thread-11 transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.141598800 [85, 1] Thread-10 transfer 
Server-0 CLIENT-REQ 2024-03-28T13:53:05.141598800 [12, 0] Thread-1 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.142605100 [86, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.143604700 [86, 2] transfer 
Server-0 CLIENT-REQ 2024-03-28T13:53:05.144603400 [13, 0] Thread-9 transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.145609100 [89, 2] Thread-5 transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.145609100 [87, 1] Thread-19 transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.146602700 [87, 2] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.146602700 [90, 1] Thread-14 transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.148599400 [90, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.148599400 [93, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.149601900 [89, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.152604700 [94, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.152604700 [88, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.153605900 [98, 1] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.154598600 [97, 1] Thread-8 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.155608 [96, 1] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.156608900 [96, 2] Thread-13 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.156608900 [95, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.157609300 [94, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.159608300 [92, 1] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.160654400 [91, 1] Thread-23 transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.161601100 [106, 1] Thread-21 transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.162606600 [98, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.162606600 [107, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.163609500 [99, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.164608100 [104, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.165599100 [101, 2] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.165599100 [103, 1] Thread-16 transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.166601400 [102, 2] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.166601400 [99, 1] Thread-20 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.167608 [109, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.168604900 [108, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.169606500 [113, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.170601900 [104, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.173606300 [105, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.174608100 [106, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.174608100 [118, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.175602200 [108, 2] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.176607800 [109, 2] Thread-2 transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.177606 [111, 2] Thread-10 transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.178599700 [122, 1] Thread-14 transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.178599700 [113, 2] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.179601700 [124, 1] Thread-5 transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.179601700 [113, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.183175800 [126, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.183175800 [114, 2] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.184151400 [125, 1] Thread-19 transfer 
Server-0 CLIENT-REQ 2024-03-28T13:53:05.184151400 [14, 0] Thread-13 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.185154900 [130, 1] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.185154900 [115, 2] Thread-8 transfer 
Server-0 CLIENT-REQ 2024-03-28T13:53:05.185154900 [15, 0] Thread-23 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.186156400 [127, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.188152800 [132, 1] transfer 
Server-0 CLIENT-REQ 2024-03-28T13:53:05.188152800 [16, 0] Thread-16 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.189159100 [135, 1] transfer 
Server-0 CLIENT-REQ 2024-03-28T13:53:05.189159100 [17, 0] Thread-21 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.191190600 [134, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.191190600 [137, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.192157800 [118, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.193157 [136, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.193157 [123, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.194156700 [138, 1] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.194156700 [119, 2] Thread-20 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.195156700 [141, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.195156700 [124, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.197160400 [126, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.198155 [143, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.199159300 [128, 2] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.200153600 [129, 2] Thread-2 transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.201158800 [131, 2] transfer 
Server-0 CLIENT-REQ 2024-03-28T13:53:05.204151200 [18, 0] Thread-14 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.203159500 [146, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.205157900 [134, 2] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.206153100 [135, 2] Thread-5 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.207157 [148, 1] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.208152100 [137, 2] Thread-10 transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.208152100 [147, 1] Thread-19 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.210153600 [149, 1] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.210153600 [139, 2] Thread-8 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.211152800 [150, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.211190800 [151, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.211190800 [140, 2] transfer 
Server-0 CLIENT-REQ 2024-03-28T13:53:05.213158300 [19, 0] Thread-20 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.214162 [152, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.216160300 [144, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.217153100 [146, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.217153100 [154, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.219163500 [148, 2] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.219163500 [149, 2] Thread-2 transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.220158600 [151, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.222153700 [156, 1] transfer 
Server-0 CLIENT-REQ 2024-03-28T13:53:05.223157500 [20, 0] Thread-5 transfer 
Server-0 CLIENT-REQ 2024-03-28T13:53:05.224155100 [21, 0] Thread-10 transfer 
Server-0 CLIENT-REQ 2024-03-28T13:53:05.226157600 [22, 0] Thread-19 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.227153800 [157, 1] transfer 
Server-0 CLIENT-REQ 2024-03-28T13:53:05.227153800 [23, 0] Thread-8 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.227153800 [158, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.229150700 [155, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.229150700 [159, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.230159500 [160, 1] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.235159500 [157, 2] Thread-2 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.238157500 [161, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.243155500 [159, 2] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.248153700 [161, 2] Thread-2 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.250157300 [162, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.255151800 [163, 2] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.260154800 [165, 2] Thread-2 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.262154200 [166, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.266151800 [167, 2] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.271152900 [169, 2] Thread-2 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.274150200 [170, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.278149700 [171, 2] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.282601600 [171, 1] Thread-2 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.284599600 [172, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.287599300 [173, 2] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.294604200 [175, 1] Thread-2 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.297598600 [176, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.302597 [176, 2] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.307603700 [179, 1] Thread-2 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.310533100 [180, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.313532700 [180, 2] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:53:05.317533900 [183, 1] Thread-2 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.319531900 [184, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.323502400 [184, 2] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.327498700 [185, 2] Thread-2 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.329506500 [187, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.334504200 [187, 2] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:53:05.337500 [189, 2] Thread-2 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.339505500 [190, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:53:05.343337200 [191, 2] transfer 
Server-0 CLIENT-REQ 2024-03-28T13:53:05.346340 [24, 0] Thread-2 transfer 
Server-1 SRV-REQ 2024-03-28T13:53:05.348336400 [191, 1] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:00.961716300 [1, 1] Thread-23 transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:00.974725 [8, 1] Thread-9 transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:00.975726 [9, 1] Thread-21 transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:00.976717800 [7, 1] Thread-11 transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:00.977725800 [6, 1] Thread-3 transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:00.978717800 [5, 1] Thread-1 transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:00.979718100 [4, 1] Thread-24 transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:00.980719300 [2, 1] Thread-4 transfer 
Server-2 CLIENT-REQ 2024-03-28T13:58:00.974725 [2, 2] Thread-18 transfer 
Server-2 CLIENT-REQ 2024-03-28T13:58:00.982717900 [5, 2] Thread-7 transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:00.982717900 [3, 1] Thread-20 transfer 
Server-0 CLIENT-REQ 2024-03-28T13:58:00.972727200 [1, 0] Thread-16 transfer 
Server-2 CLIENT-REQ 2024-03-28T13:58:00.983846500 [4, 2] Thread-2 transfer 
Server-2 CLIENT-REQ 2024-03-28T13:58:00.985720600 [3, 2] Thread-5 transfer 
Server-2 CLIENT-REQ 2024-03-28T13:58:00.986723600 [1, 2] Thread-22 transfer 
Server-0 CLIENT-REQ 2024-03-28T13:58:00.989720500 [10, 0] Thread-15 transfer 
Server-0 CLIENT-REQ 2024-03-28T13:58:00.991718300 [9, 0] Thread-10 transfer 
Server-0 CLIENT-REQ 2024-03-28T13:58:00.992718100 [8, 0] Thread-14 transfer 
Server-0 CLIENT-REQ 2024-03-28T13:58:00.994717900 [7, 0] Thread-13 transfer 
Server-0 CLIENT-REQ 2024-03-28T13:58:00.997719200 [4, 0] Thread-19 transfer 
Server-0 CLIENT-REQ 2024-03-28T13:58:00.998722900 [6, 0] Thread-8 transfer 
Server-0 CLIENT-REQ 2024-03-28T13:58:01.000720 [3, 0] Thread-6 transfer 
Server-0 CLIENT-REQ 2024-03-28T13:58:01.001720300 [2, 0] Thread-17 transfer 
Server-0 CLIENT-REQ 2024-03-28T13:58:01.004722300 [5, 0] Thread-12 transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.043719600 [10, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.044719400 [26, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.045719600 [25, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.046717900 [24, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.047717200 [23, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.047717200 [22, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.048719300 [20, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.049716600 [21, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.050719200 [18, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.051718600 [19, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.052717700 [17, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.053720600 [16, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.060719 [15, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.060719 [14, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.061724100 [14, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.063726100 [12, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.063726100 [11, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.064717800 [33, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.071725800 [10, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.072719500 [14, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.072719500 [32, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.073719500 [15, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.075719100 [13, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.075719100 [31, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.076721400 [12, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.076721400 [31, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.077722900 [11, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.077722900 [29, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.077722900 [18, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.079723900 [17, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.079723900 [28, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.079723900 [16, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.081724600 [27, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.081724600 [21, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.082718600 [20, 2] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:01.082718600 [48, 1] Thread-21 transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.083716700 [19, 2] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:01.083716700 [49, 1] Thread-23 transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.084720 [22, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.089721200 [28, 2] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:01.088719800 [52, 1] Thread-11 transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.090740100 [54, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.091717200 [53, 1] transfer 
Server-0 CLIENT-REQ 2024-03-28T13:58:01.091717200 [11, 0] Thread-3 transfer 
Server-2 CLIENT-REQ 2024-03-28T13:58:01.093719400 [30, 2] Thread-9 transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:01.096722400 [58, 1] Thread-7 transfer 
Server-2 CLIENT-REQ 2024-03-28T13:58:01.097718 [31, 2] Thread-1 transfer 
Server-2 CLIENT-REQ 2024-03-28T13:58:01.098721500 [32, 2] Thread-20 transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.099721500 [60, 1] transfer 
Server-0 CLIENT-REQ 2024-03-28T13:58:01.099721500 [12, 0] Thread-22 transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.102718900 [61, 1] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:01.103718700 [65, 1] Thread-18 transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.104721200 [64, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.105726900 [63, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.105726900 [49, 2] transfer 
Server-0 CLIENT-REQ 2024-03-28T13:58:01.106729700 [13, 0] Thread-2 transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:01.107717600 [62, 1] Thread-24 transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.107717600 [50, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.108722900 [70, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.109716900 [68, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.109716900 [53, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.110717200 [67, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.111720100 [59, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.111720100 [71, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.112719800 [72, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.113718700 [60, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.119720 [66, 2] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:58:01.120724400 [67, 2] Thread-23 transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:01.122718400 [79, 1] Thread-21 transfer 
Server-2 CLIENT-REQ 2024-03-28T13:58:01.122718400 [64, 2] Thread-4 transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.123720600 [69, 2] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:01.125719700 [80, 1] Thread-11 transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.125719700 [68, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.126726700 [82, 1] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:58:01.126726700 [71, 2] Thread-9 transfer 
Server-0 CLIENT-REQ 2024-03-28T13:58:01.126726700 [14, 0] Thread-5 transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.128718300 [81, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.128718300 [70, 2] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.130718800 [83, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.131720300 [87, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.132719100 [87, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.133721900 [88, 1] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:58:01.135719800 [75, 2] Thread-18 transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:01.136723700 [91, 1] Thread-24 transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.138718400 [78, 2] transfer 
Server-2 CLIENT-REQ 2024-03-28T13:58:01.139718800 [79, 2] Thread-20 transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.140751800 [81, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.141727900 [82, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.143722700 [84, 2] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.144720700 [85, 2] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:01.138718400 [92, 1] Thread-1 transfer 
Server-0 CLIENT-REQ 2024-03-28T13:58:01.147722500 [15, 0] Thread-7 transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.148717100 [96, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.150726400 [94, 1] transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.151720400 [93, 1] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:01.152726200 [100, 1] Thread-4 transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:01.153719500 [99, 1] Thread-23 transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.155719400 [98, 1] transfer 
Server-0 CLIENT-REQ 2024-03-28T13:58:01.157726500 [16, 0] Thread-11 transfer 
Server-1 SRV-REQ 2024-03-28T13:58:01.162713700 [106, 1] transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.163724600 [92, 2] transfer 
Server-1 CLIENT-REQ 2024-03-28T13:58:01.164717700 [105, 1] Thread-9 transfer 
Server-2 SRV-REQ 2024-03-28T13:58:01.166718900 [93, 2] transfer 
